Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Заїка,Орина,Іванівна,Жіноча,1987-02-25,Головний меркшейдер,селище Кілія,"площа Чапаєва, буд. 88 кв. 35, Ровеньки, 02542",+380 99 704-26-67,milenavanchenko@example.net
Дрозд,Лесь,Богданович,Чоловіча,2002-10-09,Піаніст,місто Бердичів,"сквер Аеропортівський 6-й, буд. 8 кв. 46, Овруч, 88723",054 708-76-19,shynkarenkopanteleimon@example.com
Чуйко,Олександр,Федорович,Чоловіча,2000-05-03,Фрілансер,село Дружківка,"парк Сьома, буд. 801 кв. 971, Іловайськ, 86370",057 990 96 54,bohodardeineko@example.net
Їжак,Тереза,Павлівна,Жіноча,1957-01-04,Няня,село Заставна,"шосе Вокзальний, буд. 470, Кам'янець-Подільський, 70206",074 135-07-89,danylo21@example.org
Ващенко-Захарченко,Ганна,Андріївна,Жіноча,1975-12-28,Футболіст,село Соледар,"сквер Олександра Кутузакія, буд. 08, Першотравенськ, 25761",878-68-59,frantsbabak@example.org
Дрозденко,Марʼяна,Павлівна,Жіноча,1983-08-06,Співак,село Маріуполь,"сквер Ползунова 1-й, буд. 1 кв. 313, Володимир-Волинський, 56771",+380 37 466-18-56,alina66@example.net
Корж,Сніжана,Дмитрівна,Жіноча,1978-03-28,Промисловець,село Новомосковськ,"вулиця Підйомний, буд. 838, Бар, 78627",777 22 80,vakarchukdanna@example.org
Рябошапка,Клавдія,Олександрівна,Жіноча,1963-11-17,Редактор,місто Бахчисарай,"вулиця Петра Лещенка, буд. 6 кв. 58, Сімферополь, 73626",+380 65 212-54-83,bohdantarasenko@example.net
Єщенко,Феофан,Федорович,Чоловіча,2003-11-02,Журналіст,хутір Болград,"набережна 7-ма Суворовська, буд. 2 кв. 486, Глиняни, 76810",+380 (77) 566-20-55,vvlasiuk@example.org
Дрозденко,Ярина,Андріївна,Жіноча,1987-11-08,Патологоанатом,місто Черкаси,"площа Лузанівка, буд. 31, Олександрія, 40911",+380 24 290-50-21,haidaburaheorhii@example.com
Батіг,Тарас,Сергійович,Чоловіча,1950-09-28,Кінолог,місто Угнів,"площа Кладовищний, буд. 405, Перечин, 36963",+380 (58) 621-10-70,valeriikonoplia@example.com
Башполченко,Захар,Олександрович,Чоловіча,1941-12-03,Архітектор,місто Саки ,"площа Тарутинська, буд. 0, Кам'янське, 91407",810-35-85,maksymvovk@example.org
Єременко,Костянтин,Петрович,Чоловіча,1957-10-23,Нотаріус,селище Хирів,"вулиця Уманська, буд. 64 кв. 749, Броди, 92689",+380 58 069-19-87,fomenkodemian@example.com
Демиденко,Аркадій,Григорович,Чоловіча,1978-07-27,Літературознавець,хутір Рубіжне,"провулок 2-й Академічний тупик, буд. 21 кв. 412, Узин, 41228",+380 (89) 329-26-72,babaksolomiia@example.org
Засядько,Венедикт,Васильович,Чоловіча,1945-09-30,Філолог,селище Глобине,"провулок Черкаська, буд. 9, Іловайськ, 14640",012 224-16-49,larysaiarosh@example.net
Комар,Святослава,Павлівна,Жіноча,1966-07-15,Соціолог,хутір Лозова ,"парк Ольгіївська, буд. 249, Шпола, 64569",018 235 10 30,hhavrylets@example.net
Авраменко,Ігор,Богданович,Чоловіча,1995-11-13,Гірник,селище Біляївка,"площа Соляний 1-й, буд. 34, Коломия, 73529",348 11 97,kmedvedenko@example.org
Юрчук,Борис,Васильович,Чоловіча,1983-08-20,Дантист,хутір Молодогвардійськ,"площа Глазунова 2-й, буд. 196 кв. 68, Борислав, 68165",+380 14 911-04-49,jdashkevych@example.org
Колісниченко,Варфоломій,Андрійович,Чоловіча,1984-04-19,Кушнір,село Болехів,"площа 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 05 кв. 7, Носівка, 96474",051 781-16-72,vira29@example.net
Сагаль,Панас,Васильович,Чоловіча,2003-08-30,Композитор,селище Бахмут,"узвіз Верещагіна, буд. 1, Перемишляни, 81328",270-83-59,qmasliak@example.com
Сімашкевич,Ігор,Юрійович,Чоловіча,1995-07-13,Машиніст,селище Чорноморськ,"площа Український 3-й, буд. 925 кв. 889, Шаргород, 05121",+380 78 719-51-84,revaamvrosii@example.com
Медведенко,Михайло,Сергійович,Чоловіча,2004-05-03,Складальник,місто Христинівка,"парк Партизанська, буд. 35 кв. 024, Шостка, 24516",578 52 94,myron47@example.org
Лисенко,Ірена,Павлівна,Жіноча,1947-08-14,Психолог,селище Монастирище,"провулок Іванова 2-й, буд. 75 кв. 984, Вільнянськ, 25364",+380 40 037-92-66,danriabovil@example.org
Адамчук,Зиновій,Петрович,Чоловіча,2001-07-21,Медик,місто Алчевськ,"набережна Буніна, буд. 97 кв. 2, Першотравенськ, 10210",422-98-96,hermanivasiuk@example.net
Колісниченко,Ірена,Петрівна,Жіноча,1956-02-22,Няня,хутір Корсунь-Шевченківський,"площа 9-та Суворовська, буд. 52 кв. 05, Перевальськ, 42029",098 482-60-58,aruban@example.com
Носаченко,Анжела,Миколаївна,Жіноча,1940-08-02,Петрограф,хутір Шахтарськ,"набережна Маячний, буд. 59 кв. 71, Вугледар, 91129",877 56 07,vernydubiustyna@example.net
Гуцуляк,Франц,Євгенович,Чоловіча,2003-01-11,Продюсер,село Кременець,"набережна Василя Кандинського 3-й, буд. 735 кв. 8, Рахів, 97851",457 19 60,fpiatachenko@example.net
Кибкало,Ігор,Юрійович,Чоловіча,1999-06-25,Електромонтажник,селище Кальміуське,"сквер Архітекторська, буд. 71, Хмельницький, 26359",+380 (89) 129-94-42,andriiovychtereza@example.com
Швачка,Амвросій,Володимирович,Чоловіча,1966-06-08,Акушер,селище Теплодар,"вулиця Кар’єрна, буд. 0 кв. 385, Благовіщенське, 77599",955 39 12,fedirbabiak@example.net
Безбородько,Арсен,Євгенович,Чоловіча,1959-05-05,Мінералог,селище Малин,"сквер Теплична, буд. 7 кв. 91, Залізне, 35768",+380 94 120 25 32,edyta80@example.org
Гайда,Леон,Ярославович,Чоловіча,1951-02-22,Євнух,місто Новоселиця,"узвіз Мариністів, буд. 961, Мар'їнка, 33925",+380 75 388-29-41,bohodar88@example.com
Їжакевич,Геннадій,Іванович,Чоловіча,2007-05-20,Мікробіолог,селище Феодосія,"шосе Гонтаренко, буд. 1, Охтирка, 81329",066 318 34 42,leontiihavryliv@example.org
Тиха,Мартин,Богданович,Чоловіча,1959-12-06,Кушнір,село Гребінка,"провулок Старопортофранківська, буд. 889 кв. 26, Пирятин, 47563",066 081 01 91,mykytakharchenko@example.net
Власенко,Валентин,Вікторович,Чоловіча,1977-02-06,Візажист,місто Антрацит ,"сквер Глазунова 1-й, буд. 5 кв. 3, Харків, 38950",+380 27 549-43-98,mprytula@example.net
Єременко,Марія,Володимирівна,Жіноча,1953-05-05,Дипломат,хутір Зеленодольськ,"шосе Гвоздичний, буд. 574 кв. 7, Богодухів, 79631",+380 44 856-01-08,everkhola@example.com
Микитюк,Єлисавета,Григорівна,Жіноча,1998-10-01,Архітектор,місто Соснівка ,"проспект Басейний 1-й, буд. 8, Надвірна, 91200",083 508-47-32,vernyhoratetiana@example.com
Лупій,Марʼяна,Леонідівна,Жіноча,1983-02-11,Клавішник,хутір Севастополь,"шосе Український 2-й, буд. 57, Горохів, 93722",+380 27 158 23 64,iukhymskopenko@example.org
Левченко,Тимофій,Романович,Чоловіча,1977-05-23,Слідчий,село Борщів,"сквер Басейна, буд. 2, Маріуполь, 70762",019 869-54-01,umishchenko@example.com
Товстоліс,Ірина,Павлівна,Жіноча,1987-01-18,Мовознавець,місто Чорноморськ,"набережна Горіхова, буд. 16 кв. 95, Узин, 52320",+380 51 516-69-84,kostiantynkabanenko@example.org
